observation_date,GDPC1_PCH
1976-01-01,2.3
1976-04-01,0.8
1976-07-01,0.5
1976-10-01,0.8
1977-01-01,1.2
1977-04-01,2.0
1977-07-01,1.8
1977-10-01,0.0
1978-01-01,0.3
1978-04-01,3.9
1978-07-01,1.0
1978-10-01,1.3
1979-01-01,0.2
1979-04-01,0.1
1979-07-01,0.7
1979-10-01,0.3
1980-01-01,0.3
1980-04-01,-2.0
1980-07-01,-0.2
1980-10-01,1.9
1981-01-01,2.1
1981-04-01,-0.7
1981-07-01,1.1
1981-10-01,-1.2
1982-01-01,-1.7
1982-04-01,0.5
1982-07-01,-0.4
1982-10-01,0.1
1983-01-01,1.3
1983-04-01,2.3
1983-07-01,2.0
1983-10-01,2.1
1984-01-01,2.0
1984-04-01,1.8
1984-07-01,1.0
1984-10-01,0.8
1985-01-01,1.0
1985-04-01,0.9
1985-07-01,1.6
1985-10-01,0.7
1986-01-01,0.9
1986-04-01,0.5
1986-07-01,1.0
1986-10-01,0.5
1987-01-01,0.7
1987-04-01,1.1
1987-07-01,0.9
1987-10-01,1.7
1988-01-01,0.6
1988-04-01,1.3
1988-07-01,0.6
1988-10-01,1.3
1989-01-01,1.0
1989-04-01,0.8
1989-07-01,0.7
1989-10-01,0.2
1990-01-01,1.1
1990-04-01,0.4
1990-07-01,0.0
1990-10-01,-0.9
1991-01-01,-0.5
1991-04-01,0.8
1991-07-01,0.5
1991-10-01,0.4
1992-01-01,1.2
1992-04-01,1.1
1992-07-01,1.0
1992-10-01,1.0
1993-01-01,0.2
1993-04-01,0.6
1993-07-01,0.5
1993-10-01,1.3
1994-01-01,1.0
1994-04-01,1.4
1994-07-01,0.6
1994-10-01,1.1
1995-01-01,0.3
1995-04-01,0.3
1995-07-01,0.9
1995-10-01,0.7
1996-01-01,0.7
1996-04-01,1.7
1996-07-01,0.9
1996-10-01,1.1
1997-01-01,0.8
1997-04-01,1.5
1997-07-01,1.3
1997-10-01,0.8
1998-01-01,1.0
1998-04-01,1.0
1998-07-01,1.3
1998-10-01,1.6
1999-01-01,0.8
1999-04-01,0.8
1999-07-01,1.3
1999-10-01,1.7
2000-01-01,0.3
2000-04-01,1.9
2000-07-01,0.1
2000-10-01,0.6
2001-01-01,-0.3
2001-04-01,0.5
2001-07-01,-0.3
2001-10-01,0.3
2002-01-01,0.9
2002-04-01,0.6
2002-07-01,0.5
2002-10-01,0.1
2003-01-01,0.5
2003-04-01,0.9
2003-07-01,1.7
2003-10-01,1.2
2004-01-01,0.6
2004-04-01,0.7
2004-07-01,0.9
2004-10-01,0.9
2005-01-01,1.1
2005-04-01,0.5
2005-07-01,0.8
2005-10-01,0.6
2006-01-01,1.2
2006-04-01,0.3
2006-07-01,0.1
2006-10-01,0.8
2007-01-01,0.1
2007-04-01,0.8
2007-07-01,0.7
2007-10-01,0.4
2008-01-01,-0.7
2008-04-01,0.5
2008-07-01,-0.5
2008-10-01,-2.1
2009-01-01,-1.4
2009-04-01,-0.1
2009-07-01,0.3
2009-10-01,1.0
2010-01-01,0.4
2010-04-01,1.0
2010-07-01,0.7
2010-10-01,0.6
2011-01-01,-0.4
2011-04-01,0.7
2011-07-01,0.2
2011-10-01,1.1
2012-01-01,0.7
2012-04-01,0.5
2012-07-01,0.1
2012-10-01,0.0
2013-01-01,0.5
2013-04-01,0.3
2013-07-01,0.7
2013-10-01,0.9
2014-01-01,-0.2
2014-04-01,1.1
2014-07-01,1.1
2014-10-01,0.5
2015-01-01,0.2
2015-04-01,1.0
2015-07-01,0.5
2015-10-01,0.2
