age,year,startmonth,endmonth,string,b0,b1,b2,b3,b4,b5,b6,b7
15,2015,1,12,1/2014-12/2015,0.009397632,0.040455285,0.01383732,0.000781976,0.010669003,0.010575653,0.897447862,0.016835271
16,2015,1,12,1/2014-12/2015,0.017653275,0.114420423,0.037162321,0.00036967,0.013609624,0.010087223,0.790134476,0.016562988
17,2015,1,12,1/2014-12/2015,0.028952778,0.215762346,0.044363806,0.000702652,0.014885431,0.013358864,0.664566888,0.017407234
18,2015,1,12,1/2014-12/2015,0.097951983,0.260403583,0.069006881,0.001838562,0.014937579,0.025295099,0.496882054,0.033684261
19,2015,1,12,1/2014-12/2015,0.190954691,0.275578335,0.084909698,0.001567829,0.022427506,0.040785012,0.349669967,0.034106961
20,2015,1,12,1/2014-12/2015,0.262127738,0.279771131,0.07068752,0.003951707,0.024669503,0.0419543,0.28987255,0.02696555
21,2015,1,12,1/2014-12/2015,0.319296507,0.265804856,0.072702394,0.00306707,0.024601842,0.047941428,0.242321502,0.0242644
22,2015,1,12,1/2014-12/2015,0.410428353,0.226851263,0.069650806,0.005319071,0.030647583,0.056482052,0.175536752,0.025084119
23,2015,1,12,1/2014-12/2015,0.501399537,0.191608868,0.068238393,0.005285083,0.030500105,0.06050136,0.118435738,0.024030915
24,2015,1,12,1/2014-12/2015,0.558450253,0.16550737,0.065841244,0.003507601,0.028050713,0.063527309,0.092858151,0.02225736
25,2015,1,12,1/2014-12/2015,0.604469135,0.131842485,0.056030064,0.004009679,0.031782502,0.079016743,0.068557196,0.024292196
26,2015,1,12,1/2014-12/2015,0.625915409,0.124567845,0.052427053,0.005995522,0.028400379,0.090635269,0.055255051,0.016803472
27,2015,1,12,1/2014-12/2015,0.633890097,0.114945537,0.052632661,0.006264148,0.033334962,0.093252015,0.047457091,0.018223489
28,2015,1,12,1/2014-12/2015,0.66911514,0.102328401,0.042735893,0.007228426,0.035627401,0.093621765,0.033857314,0.01548566
29,2015,1,12,1/2014-12/2015,0.675984317,0.097532789,0.044803168,0.009299627,0.029060993,0.09922858,0.030019147,0.014071379
30,2015,1,12,1/2014-12/2015,0.682565611,0.098398803,0.04195567,0.006203677,0.035477607,0.097999905,0.023520907,0.013877822
31,2015,1,12,1/2014-12/2015,0.680327557,0.093570757,0.04095994,0.007218794,0.037526498,0.108673141,0.020225359,0.011497954
32,2015,1,12,1/2014-12/2015,0.668559842,0.09753067,0.039999409,0.007056031,0.039319112,0.112877417,0.020581493,0.014076026
33,2015,1,12,1/2014-12/2015,0.676109738,0.095457255,0.040904242,0.007439361,0.039670798,0.108770333,0.016968481,0.014679792
34,2015,1,12,1/2014-12/2015,0.684705479,0.09196475,0.039978622,0.007283565,0.036781808,0.109150682,0.017756864,0.01237823
35,2015,1,12,1/2014-12/2015,0.673696336,0.094224976,0.036703885,0.005566334,0.044894431,0.113635032,0.018065785,0.013213221
