age,year,startmonth,endmonth,string,b0,b1,b2,b3,b4,b5,b6,b7,
<25,2015,1,12,1/2014-12/2015,0.2779,0.1956,0.0590,0.0028,0.0226,0.0413,0.3769,0.0240,1
25-35,2015,1,12,1/2014-12/2015,0.6597,0.1051,0.0453,0.0068,0.0346,0.0991,0.0337,0.0156,1
35-44,2015,1,12,1/2014-12/2015,0.6944,0.0927,0.0347,0.0078,0.0505,0.0994,0.0102,0.0105,1
45-54,2015,1,12,1/2014-12/2015,0.6806,0.0872,0.0297,0.0236,0.0907,0.0727,0.0051,0.0103,1
>54,2015,1,12,1/2014-12/2015,0.3860,0.0942,0.0190,0.3571,0.0993,0.0308,0.0014,0.0120,1
25-54,2015,1,12,1/2014-12/2015,0.6778,0.0950,0.0366,0.0128,0.0588,0.0902,0.0165,0.0122,1
<25,2014,1,12,1/2013-12/2014,0.2678,0.1959,0.0688,0.0025,0.0215,0.0431,0.3756,0.0248,1
25-35,2014,1,12,1/2013-12/2014,0.6481,0.1084,0.0535,0.0066,0.0343,0.0989,0.0351,0.0151,1
35-44,2014,1,12,1/2013-12/2014,0.6868,0.0947,0.0397,0.0083,0.0503,0.0984,0.0112,0.0105,1
45-54,2014,1,12,1/2013-12/2014,0.6737,0.0890,0.0352,0.0244,0.0928,0.0698,0.0051,0.0101,1
>54,2014,1,12,1/2013-12/2014,0.3845,0.0974,0.0224,0.3527,0.0992,0.0310,0.0013,0.0116,1
25-54,2014,1,12,1/2013-12/2014,0.6692,0.0974,0.0428,0.0133,0.0595,0.0887,0.0172,0.0119,1
<25,2013,1,12,1/2012-12/2013,0.2564,0.1930,0.0790,0.0027,0.0223,0.0453,0.3766,0.0249,1
25-35,2013,1,12,1/2012-12/2013,0.6421,0.1094,0.0610,0.0066,0.0341,0.0972,0.0354,0.0142,1
35-44,2013,1,12,1/2012-12/2013,0.6781,0.0960,0.0489,0.0081,0.0496,0.0978,0.0117,0.0098,1
45-54,2013,1,12,1/2012-12/2013,0.6615,0.0918,0.0453,0.0235,0.0936,0.0686,0.0055,0.0103,1
>54,2013,1,12,1/2012-12/2013,0.3819,0.0985,0.0275,0.3505,0.0970,0.0315,0.0015,0.0115,1
25-54,2013,1,12,1/2012-12/2013,0.6603,0.0990,0.0517,0.0129,0.0597,0.0875,0.0175,0.0114,1
<25,2012,1,12,1/2011-12/2012,0.2511,0.1954,0.0825,0.0022,0.0210,0.0446,0.3788,0.0244,1
25-35,2012,1,12,1/2011-12/2012,0.6376,0.1100,0.0687,0.0052,0.0332,0.0968,0.0350,0.0134,1
35-44,2012,1,12,1/2011-12/2012,0.6758,0.0971,0.0548,0.0073,0.0496,0.0945,0.0115,0.0095,1
45-54,2012,1,12,1/2011-12/2012,0.6598,0.0922,0.0503,0.0235,0.0896,0.0679,0.0055,0.0111,1
>54,2012,1,12,1/2011-12/2012,0.3808,0.1003,0.0313,0.3470,0.0953,0.0312,0.0016,0.0126,1
25-54,2012,1,12,1/2011-12/2012,0.6576,0.0996,0.0578,0.0123,0.0582,0.0859,0.0172,0.0113,1
<25,2011,1,12,1/2010-12/2011,0.2492,0.1933,0.0892,0.0018,0.0213,0.0456,0.3760,0.0236,1
25-35,2011,1,12,1/2010-12/2011,0.6280,0.1091,0.0782,0.0058,0.0329,0.0964,0.0353,0.0142,1
35-44,2011,1,12,1/2010-12/2011,0.6663,0.0994,0.0612,0.0069,0.0493,0.0950,0.0117,0.0103,1
45-54,2011,1,12,1/2010-12/2011,0.6554,0.0949,0.0573,0.0213,0.0878,0.0664,0.0062,0.0107,1
>54,2011,1,12,1/2010-12/2011,0.3800,0.1006,0.0339,0.3459,0.0946,0.0312,0.0017,0.0122,1
25-54,2011,1,12,1/2010-12/2011,0.6497,0.1011,0.0654,0.0116,0.0574,0.0854,0.0176,0.0117,1
<25,2010,1,12,1/2009-12/2010,0.2509,0.1928,0.0946,0.0019,0.0199,0.0467,0.3682,0.0249,1
25-35,2010,1,12,1/2009-12/2010,0.6290,0.1091,0.0835,0.0050,0.0304,0.0943,0.0338,0.0150,1
35-44,2010,1,12,1/2009-12/2010,0.6628,0.1022,0.0678,0.0062,0.0473,0.0920,0.0110,0.0107,1
45-54,2010,1,12,1/2009-12/2010,0.6529,0.0969,0.0629,0.0215,0.0840,0.0655,0.0056,0.0108,1
>54,2010,1,12,1/2009-12/2010,0.3767,0.1011,0.0365,0.3481,0.0931,0.0318,0.0015,0.0112,1
25-54,2010,1,12,1/2009-12/2010,0.6482,0.1026,0.0712,0.0112,0.0548,0.0834,0.0165,0.0121,1
<25,2009,1,12,1/2008-12/2009,0.2604,0.1954,0.0940,0.0019,0.0193,0.0469,0.3566,0.0255,1
25-35,2009,1,12,1/2008-12/2009,0.6359,0.1083,0.0824,0.0043,0.0296,0.0963,0.0285,0.0146,1
35-44,2009,1,12,1/2008-12/2009,0.6671,0.1024,0.0667,0.0062,0.0464,0.0917,0.0095,0.0100,1
45-54,2009,1,12,1/2008-12/2009,0.6601,0.0961,0.0587,0.0227,0.0828,0.0645,0.0051,0.0101,1
>54,2009,1,12,1/2008-12/2009,0.3781,0.1010,0.0343,0.3510,0.0907,0.0322,0.0012,0.0116,1
25-54,2009,1,12,1/2008-12/2009,0.6546,0.1020,0.0689,0.0114,0.0539,0.0836,0.0140,0.0115,1
<25,2008,1,12,1/2007-12/2008,0.3031,0.1927,0.0695,0.0021,0.0174,0.0478,0.3437,0.0236,1
25-35,2008,1,12,1/2007-12/2008,0.6870,0.0954,0.0496,0.0043,0.0282,0.0966,0.0265,0.0124,1
35-44,2008,1,12,1/2007-12/2008,0.7112,0.0912,0.0391,0.0059,0.0442,0.0905,0.0088,0.0092,1
45-54,2008,1,12,1/2007-12/2008,0.7007,0.0858,0.0339,0.0223,0.0810,0.0625,0.0045,0.0093,1
>54,2008,1,12,1/2007-12/2008,0.3942,0.0974,0.0196,0.3566,0.0892,0.0316,0.0011,0.0103,1
25-54,2008,1,12,1/2007-12/2008,0.6998,0.0907,0.0406,0.0111,0.0520,0.0827,0.0129,0.0103,1
<25,2007,1,12,1/2006-12/2007,0.3205,0.1942,0.0585,0.0019,0.0172,0.0483,0.3346,0.0248,1
25-35,2007,1,12,1/2006-12/2007,0.6996,0.0930,0.0396,0.0036,0.0269,0.0986,0.0257,0.0129,1
35-44,2007,1,12,1/2006-12/2007,0.7194,0.0902,0.0292,0.0055,0.0456,0.0925,0.0081,0.0094,1
45-54,2007,1,12,1/2006-12/2007,0.7095,0.0845,0.0264,0.0229,0.0801,0.0636,0.0042,0.0087,1
>54,2007,1,12,1/2006-12/2007,0.3917,0.0971,0.0155,0.3651,0.0872,0.0331,0.0011,0.0092,1
25-54,2007,1,12,1/2006-12/2007,0.7097,0.0891,0.0315,0.0109,0.0517,0.0844,0.0123,0.0103,1
<25,2006,1,12,1/2005-12/2006,0.3260,0.1988,0.0590,0.0018,0.0176,0.0491,0.3245,0.0233,1
25-35,2006,1,12,1/2005-12/2006,0.6980,0.0918,0.0394,0.0036,0.0274,0.1007,0.0265,0.0125,1
35-44,2006,1,12,1/2005-12/2006,0.7180,0.0904,0.0304,0.0058,0.0465,0.0922,0.0076,0.0091,1
45-54,2006,1,12,1/2005-12/2006,0.7115,0.0831,0.0258,0.0229,0.0778,0.0649,0.0045,0.0095,1
>54,2006,1,12,1/2005-12/2006,0.3865,0.0969,0.0149,0.3709,0.0857,0.0336,0.0012,0.0102,1
25-54,2006,1,12,1/2005-12/2006,0.7095,0.0883,0.0317,0.0110,0.0513,0.0855,0.0125,0.0103,1
<25,2005,1,12,1/2004-12/2005,0.3206,0.1994,0.0631,0.0018,0.0190,0.0509,0.3206,0.0246,1
25-35,2005,1,12,1/2004-12/2005,0.6893,0.0946,0.0433,0.0040,0.0276,0.1028,0.0263,0.0122,1
35-44,2005,1,12,1/2004-12/2005,0.7130,0.0929,0.0330,0.0053,0.0463,0.0928,0.0076,0.0090,1
45-54,2005,1,12,1/2004-12/2005,0.7044,0.0849,0.0287,0.0239,0.0782,0.0654,0.0048,0.0097,1
>54,2005,1,12,1/2004-12/2005,0.3754,0.0973,0.0167,0.3785,0.0860,0.0346,0.0012,0.0104,1
25-54,2005,1,12,1/2004-12/2005,0.7027,0.0907,0.0348,0.0112,0.0512,0.0866,0.0125,0.0103,1
<25,2004,1,12,1/2003-12/2004,0.3148,0.2020,0.0675,0.0017,0.0176,0.0499,0.3215,0.0250,1
25-35,2004,1,12,1/2003-12/2004,0.6857,0.0949,0.0462,0.0045,0.0261,0.1041,0.0261,0.0124,1
35-44,2004,1,12,1/2003-12/2004,0.7048,0.0958,0.0370,0.0050,0.0474,0.0932,0.0079,0.0090,1
45-54,2004,1,12,1/2003-12/2004,0.7010,0.0865,0.0313,0.0252,0.0779,0.0640,0.0048,0.0094,1
>54,2004,1,12,1/2003-12/2004,0.3640,0.0968,0.0180,0.3899,0.0835,0.0363,0.0012,0.0102,1
25-54,2004,1,12,1/2003-12/2004,0.6975,0.0924,0.0380,0.0116,0.0509,0.0869,0.0126,0.0102,1
<25,2003,1,12,1/2002-12/2003,0.3164,0.2003,0.0708,0.0018,0.0171,0.0489,0.3186,0.0262,1
25-35,2003,1,12,1/2002-12/2003,0.6833,0.0943,0.0509,0.0037,0.0269,0.1032,0.0253,0.0122,1
35-44,2003,1,12,1/2002-12/2003,0.7009,0.0952,0.0419,0.0053,0.0456,0.0929,0.0082,0.0100,1
45-54,2003,1,12,1/2002-12/2003,0.6983,0.0895,0.0337,0.0247,0.0756,0.0637,0.0045,0.0099,1
>54,2003,1,12,1/2002-12/2003,0.3580,0.0962,0.0192,0.3991,0.0796,0.0366,0.0010,0.0104,1
25-54,2003,1,12,1/2002-12/2003,0.6945,0.0930,0.0421,0.0112,0.0495,0.0866,0.0124,0.0107,1
<25,2002,1,12,1/2001-12/2002,0.3251,0.2069,0.0710,0.0013,0.0167,0.0486,0.3055,0.0250,1
25-35,2002,1,12,1/2001-12/2002,0.6921,0.0953,0.0497,0.0033,0.0260,0.0987,0.0225,0.0124,1
35-44,2002,1,12,1/2001-12/2002,0.7098,0.0935,0.0387,0.0045,0.0460,0.0902,0.0073,0.0099,1
45-54,2002,1,12,1/2001-12/2002,0.7023,0.0854,0.0334,0.0248,0.0745,0.0658,0.0042,0.0095,1
>54,2002,1,12,1/2001-12/2002,0.3519,0.0934,0.0182,0.4083,0.0792,0.0373,0.0012,0.0105,1
25-54,2002,1,12,1/2001-12/2002,0.7019,0.0914,0.0404,0.0107,0.0491,0.0849,0.0110,0.0106,1
<25,2001,1,12,1/2000-12/2001,0.3431,0.2092,0.0632,0.0011,0.0153,0.0469,0.2935,0.0277,1
25-35,2001,1,12,1/2000-12/2001,0.7087,0.0921,0.0398,0.0030,0.0255,0.0962,0.0219,0.0128,1
35-44,2001,1,12,1/2000-12/2001,0.7238,0.0921,0.0311,0.0036,0.0454,0.0867,0.0068,0.0104,1
45-54,2001,1,12,1/2000-12/2001,0.7136,0.0833,0.0257,0.0249,0.0728,0.0656,0.0040,0.0102,1
>54,2001,1,12,1/2000-12/2001,0.3409,0.0943,0.0135,0.4232,0.0790,0.0376,0.0010,0.0106,1
25-54,2001,1,12,1/2000-12/2001,0.7159,0.0893,0.0321,0.0102,0.0480,0.0829,0.0106,0.0111,1
<25,2000,1,12,1/1999-12/2000,0.3574,0.2124,0.0581,0.0010,0.0149,0.0477,0.2809,0.0276,1
25-35,2000,1,12,1/1999-12/2000,0.7259,0.0890,0.0317,0.0024,0.0239,0.0952,0.0200,0.0120,1
35-44,2000,1,12,1/1999-12/2000,0.7311,0.0916,0.0258,0.0029,0.0438,0.0885,0.0068,0.0095,1
45-54,2000,1,12,1/1999-12/2000,0.7215,0.0834,0.0204,0.0238,0.0715,0.0664,0.0037,0.0095,1
>54,2000,1,12,1/1999-12/2000,0.3279,0.0943,0.0111,0.4381,0.0787,0.0392,0.0007,0.0100,1
25-54,2000,1,12,1/1999-12/2000,0.7265,0.0882,0.0260,0.0092,0.0461,0.0838,0.0100,0.0103,1
<25,1999,1,12,1/1998-12/1999,0.3471,0.2168,0.0603,0.0007,0.0144,0.0483,0.2845,0.0279,1
25-35,1999,1,12,1/1998-12/1999,0.7190,0.0922,0.0340,0.0014,0.0251,0.0956,0.0211,0.0115,1
35-44,1999,1,12,1/1998-12/1999,0.7305,0.0932,0.0261,0.0027,0.0430,0.0879,0.0074,0.0093,1
45-54,1999,1,12,1/1998-12/1999,0.7197,0.0856,0.0213,0.0236,0.0700,0.0671,0.0038,0.0090,1
>54,1999,1,12,1/1998-12/1999,0.3191,0.0957,0.0117,0.4448,0.0761,0.0418,0.0007,0.0102,1
25-54,1999,1,12,1/1998-12/1999,0.7235,0.0906,0.0272,0.0086,0.0454,0.0841,0.0107,0.0099,1
<25,1998,1,12,1/1997-12/1998,0.3459,0.2189,0.0637,0.0007,0.0150,0.0460,0.2811,0.0286,1
25-35,1998,1,12,1/1997-12/1998,0.7138,0.0973,0.0368,0.0014,0.0254,0.0928,0.0210,0.0115,1
35-44,1998,1,12,1/1997-12/1998,0.7246,0.0956,0.0289,0.0023,0.0431,0.0888,0.0072,0.0094,1
45-54,1998,1,12,1/1997-12/1998,0.7169,0.0875,0.0227,0.0227,0.0696,0.0679,0.0036,0.0091,1
>54,1998,1,12,1/1997-12/1998,0.3152,0.0960,0.0114,0.4552,0.0733,0.0430,0.0005,0.0054,1
25-54,1998,1,12,1/1997-12/1998,0.7188,0.0938,0.0297,0.0080,0.0450,0.0840,0.0107,0.0100,1
<25,1997,1,12,1/1996-12/1997,0.3393,0.2153,0.0691,0.0008,0.0148,0.0478,0.2820,0.0309,1
25-35,1997,1,12,1/1996-12/1997,0.7054,0.0986,0.0403,0.0012,0.0249,0.0954,0.0210,0.0132,1
35-44,1997,1,12,1/1996-12/1997,0.7206,0.0981,0.0325,0.0020,0.0436,0.0850,0.0078,0.0103,1
45-54,1997,1,12,1/1996-12/1997,0.7130,0.0883,0.0252,0.0220,0.0682,0.0701,0.0037,0.0095,1
>54,1997,1,12,1/1996-12/1997,0.3056,0.0970,0.0123,0.4600,0.0750,0.0438,0.0007,0.0055,1
25-54,1997,1,12,1/1996-12/1997,0.7133,0.0955,0.0330,0.0074,0.0443,0.0843,0.0111,0.0111,1
<25,1996,1,12,1/1995-12/1996,0.3373,0.2149,0.0727,0.0004,0.0143,0.0536,0.2747,0.0321,1
25-35,1996,1,12,1/1995-12/1996,0.6960,0.1006,0.0441,0.0010,0.0251,0.0998,0.0203,0.0132,1
35-44,1996,1,12,1/1995-12/1996,0.7135,0.1007,0.0352,0.0018,0.0441,0.0865,0.0080,0.0102,1
45-54,1996,1,12,1/1995-12/1996,0.7032,0.0903,0.0277,0.0209,0.0709,0.0729,0.0042,0.0099,1
>54,1996,1,12,1/1995-12/1996,0.2939,0.0946,0.0138,0.4665,0.0758,0.0468,0.0006,0.0081,1
25-54,1996,1,12,1/1995-12/1996,0.7045,0.0978,0.0362,0.0068,0.0449,0.0873,0.0113,0.0112,1
<25,1995,1,12,1/1994-12/1995,0.3439,0.2140,0.0738,0.0005,0.0158,0.0564,0.2632,0.0323,1
25-35,1995,1,12,1/1994-12/1995,0.6910,0.1022,0.0456,0.0009,0.0261,0.0991,0.0221,0.0130,1
35-44,1995,1,12,1/1994-12/1995,0.7073,0.1022,0.0371,0.0014,0.0446,0.0884,0.0080,0.0110,1
45-54,1995,1,12,1/1994-12/1995,0.6961,0.0915,0.0276,0.0215,0.0720,0.0762,0.0041,0.0110,1
>54,1995,1,12,1/1994-12/1995,0.2851,0.0967,0.0146,0.4657,0.0756,0.0492,0.0007,0.0124,1
25-54,1995,1,12,1/1994-12/1995,0.6984,0.0993,0.0376,0.0067,0.0454,0.0889,0.0120,0.0117,1
<25,1994,1,12,1/1993-12/1994,0.3405,0.2159,0.0775,0.0004,0.0148,0.0580,0.2600,0.0329,1
25-35,1994,1,12,1/1993-12/1994,0.6801,0.1023,0.0500,0.0006,0.0269,0.1046,0.0214,0.0142,1
35-44,1994,1,12,1/1993-12/1994,0.7046,0.1046,0.0393,0.0013,0.0416,0.0886,0.0087,0.0113,1
45-54,1994,1,12,1/1993-12/1994,0.6919,0.0927,0.0325,0.0206,0.0670,0.0793,0.0044,0.0115,1
>54,1994,1,12,1/1993-12/1994,0.2797,0.0971,0.0159,0.4630,0.0740,0.0563,0.0007,0.0133,1
25-54,1994,1,12,1/1993-12/1994,0.6923,0.1006,0.0414,0.0062,0.0429,0.0920,0.0122,0.0124,1
<25,1993,1,12,1/1992-12/1993,0.3557,0.1938,0.0814,0.0001,0.0045,0.0586,0.2414,0.0645,1
25-35,1993,1,12,1/1992-12/1993,0.6872,0.0894,0.0572,0.0002,0.0097,0.1076,0.0187,0.0299,1
35-44,1993,1,12,1/1992-12/1993,0.7170,0.0858,0.0467,0.0013,0.0167,0.0957,0.0079,0.0290,1
45-54,1993,1,12,1/1992-12/1993,0.7034,0.0749,0.0386,0.0119,0.0291,0.1029,0.0040,0.0352,1
>54,1993,1,12,1/1992-12/1993,0.2893,0.0787,0.0168,0.3066,0.0357,0.2013,0.0008,0.0707,1
25-54,1993,1,12,1/1992-12/1993,0.7023,0.0844,0.0486,0.0036,0.0173,0.1020,0.0110,0.0309,1
<25,1992,1,12,1/1991-12/1992,0.3566,0.1910,0.0881,0.0001,0.0041,0.0585,0.2360,0.0655,1
25-35,1992,1,12,1/1991-12/1992,0.6874,0.0858,0.0641,0.0002,0.0086,0.1072,0.0177,0.0289,1
35-44,1992,1,12,1/1991-12/1992,0.7165,0.0855,0.0498,0.0012,0.0146,0.0956,0.0082,0.0287,1
45-54,1992,1,12,1/1991-12/1992,0.6985,0.0754,0.0414,0.0115,0.0250,0.1096,0.0036,0.0350,1
>54,1992,1,12,1/1991-12/1992,0.2900,0.0782,0.0186,0.2938,0.0331,0.2159,0.0010,0.0694,1
25-54,1992,1,12,1/1991-12/1992,0.7008,0.0831,0.0532,0.0034,0.0149,0.1035,0.0107,0.0303,1
<25,1991,1,12,1/1990-12/1991,0.3665,0.1871,0.0835,0.0001,0.0039,0.0644,0.2308,0.0638,1
25-35,1991,1,12,1/1990-12/1991,0.6900,0.0853,0.0574,0.0002,0.0084,0.1131,0.0177,0.0278,1
35-44,1991,1,12,1/1990-12/1991,0.7226,0.0856,0.0442,0.0011,0.0147,0.0991,0.0075,0.0252,1
45-54,1991,1,12,1/1990-12/1991,0.6981,0.0756,0.0367,0.0114,0.0259,0.1160,0.0033,0.0330,1
>54,1991,1,12,1/1990-12/1991,0.2894,0.0783,0.0154,0.2858,0.0339,0.2312,0.0007,0.0653,1
25-54,1991,1,12,1/1990-12/1991,0.7038,0.0831,0.0476,0.0032,0.0149,0.1087,0.0105,0.0281,1
<25,1990,1,12,1/1989-12/1990,0.3961,0.1834,0.0709,0.0001,0.0042,0.0622,0.2227,0.0604,1
25-35,1990,1,12,1/1989-12/1990,0.7072,0.0831,0.0465,0.0001,0.0084,0.1127,0.0169,0.0251,1
